label,nr_errors,total,perc. errors
Movie/description,0.0,11,0.0
addressLocality,0.0,2,0.0
telephone,0.0,3,0.0
price,2.0,30,0.06666666666666667
postalCode,0.0,1,0.0
Country,0.0,4,0.0
priceRange,1.0,10,0.1
Distance,1.0,25,0.04
Restaurant/name,1.0,21,0.047619047619047616
Energy,1.0,14,0.07142857142857142
Recipe/description,0.0,12,0.0
Time,2.0,16,0.125
ProductModel,1.0,10,0.1
Rating,0.0,20,0.0
DeliveryMethod,0.0,10,0.0
Product/name,3.0,38,0.07894736842105263
unitCode,6.0,13,0.46153846153846156
unitText,1.0,10,0.1
ItemList,2.0,10,0.2
Number,4.0,20,0.2
Mass,0.0,29,0.0
DayOfWeek,1.0,6,0.16666666666666666
URL,2.0,21,0.09523809523809523
PostalAddress,1.0,1,1.0
streetAddress,0.0,1,0.0
Language,0.0,24,0.0
Product/description,1.0,17,0.058823529411764705
openingHours,0.0,5,0.0
BookFormatType,1.0,23,0.043478260869565216
RestrictedDiet,3.0,11,0.2727272727272727
Brand,1.0,11,0.09090909090909091
Person/name,4.0,15,0.26666666666666666
Review,7.0,25,0.28
currency,0.0,31,0.0
Movie/name,1.0,32,0.03125
Photograph,9.0,18,0.5
QuantitativeValue,9.0,11,0.8181818181818182
IdentifierAT,9.0,17,0.5294117647058824
weight,14.0,40,0.35
Date,2.0,26,0.07692307692307693
category,0.0,23,0.0
paymentAccepted,0.0,3,0.0
Recipe/name,0.0,10,0.0
Duration,21.0,41,0.5121951219512195
DateTime,0.0,3,0.0
Boolean,2.0,8,0.25
OfferItemCondition,1.0,21,0.047619047619047616
Book/description,0.0,11,0.0
Book/name,3.0,32,0.09375
ItemAvailability,0.0,28,0.0
